"Peak_ID","Compound_Name","mz_mean","mz_diff_ppm","RT_diff","Adduct","Synonym","Chem_Sum_Formula","Exact_Mass","Lipid_Class","FA_composition","R1_24D","R2_24D","R3_24D","R5_24D","R6_24D","R1_24M","R2_24M","R3_24M","R5_24M","R6_24M","R1_48D","R2_48D","R3_48D","R5_48D","R6_48D","R1_48M","R2_48M","R3_48M","R5_48M","R6_48M","R1_72D","R2_72D","R3_72D","R5_72D","R6_72D","R1_72M","R2_72M","R3_72M","R5_72M","R6_72M"
"LN_000001","DAG 36:1",681.5696261,"2.7292","-0.0073","[M+AcOH-H]-",NA,"C39H74O5","622.553625","Diacylglycerol","18:0/18:1 | 16:0/20:1",470037,2413188,1914423,3271794,758059.1,543047.9,1988954,3063453,2482512,2808860,1143105,4053499,5777358,4092699,5094956,966221,3192778,6209781,4967467,4578914,1768357,7265687,6850403,5920479,6317454,1504500,6844968,6210919,5454296,6488236
"LN_000007","DAG 36:2",679.5527022,"1.5042","0.0085","[M+AcOH-H]-",NA,"C39H72O5","620.537975","Diacylglycerol","18:1/18:1 | 16:0/20:2 | 18:0/18:2",141219,908437,628773,965961,1212028,179427,586929,1111161,780396,922839,325676,1293272,1586238,1146144,1621738,335613,906953,1785871,1826142,1748163,505235,1996428,1650444,1804984,2485262,444688,2061297,1500871,1740960,2232789
"LN_000194","FA 17:1",267.2330319,"-0.4232","-0.0079","[M-H]-",NA,"C17H32O2","268.240231","Fatty Acid",NA,80601,766749,519165,604360,329734,111727,548414,974447,465275,407410,160227,874376,1610946,344121,377602,155918,565770,1629895,639986,334623,248400,1668515,1655751,403725,545260,267577,1258671,1410954,399682,316770
"LN_000200","FA 19:1",295.2643645,"0.6114","-0.0248","[M-H]-",NA,"C19H36O2","296.271531","Fatty Acid",NA,143732,1250258,888833,1223669,680341,175967,931267,1516090,890031,686114,281090,1298663,2473835,735512,687987,254653,1004352,2519820,1107103,705021,434155,2461326,2375410,983560,948074,452833,2213486,2136183,894798,725143
"LN_000206","FA 23:0",353.3421259,"-0.4586","-0.0463","[M-H]-","Tricosanoic acid","C23H46O2","354.349781","Fatty Acid",NA,123137,410526,273580,490124,624085,157695,304997,473624,425492,493062,141780,434150,704703,652954,818116,169133,377641,903651,816289,902945,204578,704826,936836,973590,807968,267462,711443,969838,1019991,1137457
"LN_000212","FA 25:0",381.3735092,"-2.3226","-0.0241","[M-H]-","Pentacosanoic acid","C25H50O2","382.381081","Fatty Acid",NA,60296,235393,176429,244749,247603,72261.17,199653,287914,239800,161017,97790,251379,436031,327991,313280,103635,239480,457045,427979,326312,133662,403124,531797,382769,316300,154442,380132,450527,407324,400682
"LN_000218","FA 25:1",379.3575891,"-0.4717","-0.0239","[M-H]-",NA,"C25H48O2","380.365431","Fatty Acid",NA,84583,497384,326132,714198,695806,94672,348268,535860,543260,574434,197116,568077,1104739,791733,711789,201154,464773,1136754,929482,814873,246754,733144,1092952,755478,487206,276942,774889,989078,795504,780800
"LN_000224","FA 26:0",395.3889151,"-1.024","-0.0225","[M-H]-","Hexacosanoic acid","C26H52O2","396.396731","Fatty Acid",NA,732023,2694658,2029000,3567922,3766776,827745,2812628,3417033,3061727,2736033,1355994,4235572,8412525,6822737,5606054,1343545,4115027,8318331,6960590,6499581,2025043,9979029,12014676,8466550,6257102,2193083,8158218,9544578,9039021,9007932
"LN_000230","FA 26:1",393.3735216,"-0.7611","-0.012","[M-H]-",NA,"C26H50O2","394.381081","Fatty Acid",NA,384753,2010866,1366061,3064008,2392912,415754,1643873,1944791,2298037,2106515,783903,2397405,4209749,3560938,3179087,739369,1987218,3712580,4586696,3059575,1053285,3069558,4105673,3616382,2157716,1026138,3659311,3984150,3470576,3376116
"LN_000254","LysoPE 18:1",478.2945543,"1.2761","-0.0045","[M-H]-",NA,"C23H46NO7P","479.30119","Lyso Phosphatidylethanolamine",NA,67188,184197,116609,84983,153423,76829,103920,240735,52297.12,163143,98335,191383,395224,70093,276570,71424,150152,396326,129468,230422,175906,325990,595305,368600,148025,134883,665856,519144,287661,422712
"LN_000259","MGDG 32:0",789.5738591,"-0.4406","0.0352","[M+AcOH-H]-",NA,"C41H78O10","730.5595","Monogalactosyldiacylglycerol",NA,140698,262617,212279,451049,528134,150993,242476,328572,303024,408174,223283,275630,404245,443211,634872,216500,308514,457088,413491,687300,284040,546873,675289,856087,510148,230477,729493,526049,828040,976444
"LN_000301","MGDG 34:1",815.5893136,"-0.0397","-0.0146","[M+AcOH-H]-",NA,"C43H80O10","756.575151","Monogalactosyldiacylglycerol",NA,67288.49,229259,191657,412070,409433,66390,193160,252428,227528,427371,124723,290374,454018,251768,524398,106464,268898,410709,282054,509239,163872,346721,463824,610281,319687,149556,589563,549547,457807,564112
"LN_000764","PG 34:1",747.5182538,"0.3101","0.0434","[M-H]-",NA,"C40H77O10P","748.525437","Phosphatidylglycerol",NA,1830574,5396671,3600751,6229172,1918558,1813845,3556313,4433928,3828710,6807035,2452237,3574151,6808994,3255898,9065953,1529819,3130317,6021634,4155104,6935959,2711182,2653099,8145035,10694733,2763088,1990508,8624517,6528687,6842338,6046897
"LN_000788","PG 36:1",775.5486282,"0.2788","0.0491","[M-H]-",NA,"C42H81O10P","776.556737","Phosphatidylglycerol","18:0/18:1",1168484,2811988,1866021,2958337,2581574,1038821,1963057,2224458,1791475,3114052,1263327,1628796,3096081,2274917,4277536,756556,1628766,3048372,2394623,2708677,1503696,1255535,3558637,5613402,955396.3,906205,3421315,3476624,3972425,4153088
"LN_001333","SM 34:0",763.597652,"1.5022","-0.011","[M+AcOH-H]-",NA,"C39H81N2O6P","704.583226","Sphyngomyelin",NA,1776924,4375486,3647956,6147513,7856868,1740376,3505383,4903290,4203421,6384340,3082561,6545735,7147920,5805876,9282434,1949859,4506766,6040406,4636996,7910516,4765460,6543815,7667181,8024739,5327523,2397527,6170886,5874653,7018111,9434374
"LN_001477","DAG 34:1",653.5370984,"0.9095","-0.0027","[M+AcOH-H]-",NA,"C37H70O5","594.522325","Diacylglycerol","16:0/18:1",337409,1587443,1269508,1853894,2672659,378490,1055846,1978150,1702664,2401453,605784,2343260,2631440,2378112,3240757,545500,1746997,3531085,3369830,3384211,922367,3754868,3420230,3589521,4971091,907855,3357026,3232992,3849663,4222324
"LN_001483","DAG 34:2",651.5212705,"0.4381","0.0093","[M+AcOH-H]-",NA,"C37H68O5","592.506675","Diacylglycerol","16:0/18:2 | 16:1/18:1",65633.12,257002,178254,255798,371341,81646.89,168047,289485,199648,359584,82746,288149,390879,256580,396950,69317,217341,345539,403078,362001,116628,343280,394798,378650,393953,127702,334922,323291,259165,322318
"LN_001543","DAG 42:1",765.661727,"-0.0366","-0.0011","[M+AcOH-H]-",NA,"C45H86O5","706.647525","Diacylglycerol",NA,82034,519506,341247,563070,544619,109326,363113,593307,360853,502984,185809,687773,1300214,640140,1144622,162613,541987,1348464,990945,882791,262570,527075,1135954,870678,716893,244574,925029,1272099,1000386,1002808
"LN_002606","Gondoic Acid (FA 20:1)",309.279939,"-0.2166","-0.0174","[M-H]-","(11Z)-Eicosenoic acid|11-Eicosenoic acid|Eicosenoic acid|(Z)-Eicos-11-enoic acid","C20H38O2","310.287181","Fatty Acid",NA,651470,4672374,3093170,5355254,3261388,715827,3326838,5580320,3820531,3084563,1139689,4964545,9109340,3218081,3455943,970402,3974120,8792583,5153506,3471121,1678755,9344619,8527364,4661945,4179093,1615212,8559867,8248351,3817592,3645769
"LN_002612","FA 20:3",305.2487955,"-1.0532","0.0172","[M-H]-","Eicosatrienoic acid|11,14,17-Eicosatrienoic acid|(Z,Z,Z)-Eicosa-11,14,17-trienoic acid","C20H34O2","306.255881","Fatty Acid",NA,446912,2213640,1916745,1040870,541102,547503,1768736,2644351,865369,636290,635015,1370039,2595195,383388,629391,481032,958701,2832392,745767,581052,490959,1601823,1743305,427346,730211,519401,1284551,1794213,484965,461119
"LN_002618","FA 20:5",301.2173687,"-0.7181","0.0062","[M-H]-","(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate|(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid|Eicosapentaenoic acid","C20H30O2","302.224581","Fatty Acid",NA,1100972,5289109,4513970,1847574,1000767,1411893,4113073,7067761,1817981,1372293,1424983,3622650,7451330,877571,1508435,1137233,2363707,7815443,1913706,1313474,1252064,3678882,4891187,841845,1721908,1388215,2995138,4829742,880023,1030531
