"gene.id" "hgnc_symbol" "chromosome_name" "logFC" "logCPM" "LR" "PValue" "FDR"
"ENSG00000206503" "ENSG00000206503" "HLA-A" "6" 1.94511628411791 4.83847641009713 113.80776448685 1.43574207108383e-26 2.47923940834757e-22
"ENSG00000160972" "ENSG00000160972" "PPP1R16A" "8" 0.984739604175877 3.95240079480429 62.7308226607364 2.36977839804319e-15 2.04606666887049e-11
"ENSG00000117318" "ENSG00000117318" "ID3" "1" -1.48712661608647 2.01633412933654 61.7703999924655 3.85932419884585e-15 2.22142700885567e-11
"ENSG00000149761" "ENSG00000149761" "NUDT22" "11" 0.725947619622911 3.76626577676901 53.2642651867812 2.91562462415299e-13 1.25867515024684e-09
"ENSG00000262814" "ENSG00000262814" "MRPL12" "17" 1.07617187754715 3.534570795617 50.0820492018079 1.47449720052038e-12 5.09232353171719e-09
"ENSG00000173621" "ENSG00000173621" "LRFN4" "11" 0.728177858430361 3.85360762501166 47.3913222088792 5.81394968839967e-12 1.67325472032142e-08
"ENSG00000123989" "ENSG00000123989" "CHPF" "2" 0.554126281647004 5.38795471251146 43.5591670959116 4.11332814832558e-11 9.91575665232802e-08
"ENSG00000109736" "ENSG00000109736" "MFSD10" "4" 0.599591183767397 6.10907214278547 43.3429780633601 4.59381823133102e-11 9.91575665232802e-08
"ENSG00000198816" "ENSG00000198816" "ZNF358" "19" 0.740752509385068 3.5521515936303 41.3558177198702 1.26893244867381e-10 2.43465839152215e-07
"ENSG00000001630" "ENSG00000001630" "CYP51A1" "7" 0.997529778343374 2.10846776211889 39.6716414461989 3.0045676234643e-10 5.1072825761628e-07
"ENSG00000171222" "ENSG00000171222" "SCAND1" "20" 1.10023689694274 4.49481079218584 39.4780342649984 3.31770402533397e-10 5.1072825761628e-07
"ENSG00000002330" "ENSG00000002330" "BAD" "11" 0.87228570197933 4.56131490247139 39.3463324528264 3.54918872561695e-10 5.1072825761628e-07
"ENSG00000167996" "ENSG00000167996" "FTH1" "11" 1.31091022998388 6.28144189170968 39.1637560023121 3.89707821526825e-10 5.17651897086554e-07
"ENSG00000166925" "ENSG00000166925" "TSC22D4" "7" 0.436964193280883 5.51274732551222 37.5526672782326 8.89776625730427e-10 1.09747591236522e-06
"ENSG00000164897" "ENSG00000164897" "TMUB1" "7" 0.635019621339519 5.37814513605671 35.9338711328506 2.04129135259481e-09 2.34993460510715e-06
"ENSG00000168282" "ENSG00000168282" "MGAT2" "14" 1.81890136876406 0.543131243114567 35.4475081190945 2.62017380311149e-09 2.82782257700807e-06
"ENSG00000115286" "ENSG00000115286" "NDUFS7" "19" 1.05051829944441 3.7664978172621 34.863038231289 3.53732773040453e-09 3.52079131219373e-06
